participant,name,rollno,age,lefrig,prpcogsciexp,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.655fa303-ee1d-4456-8b90-60313633ba7f.txt,4242,5492,2803,3628,"",0,2020-11-14-08-08,"",""
s.1b49a5ff-eea2-4f5a-8496-39e6b4c547cd.txt,4585,13276,5592,9215,"",0,2020-11-11-20-12,2020-11-11-20-23,11
s.c02e9ec5-baca-4058-808b-70c0d86a727f.txt,5343,6806,6430,6917,"",0,2020-10-06-10-54,2020-10-06-11-49,55
s.fae17677-8c69-446f-9cf8-7ea0d366ebff.txt,8175,8038,3579,5916,"",0,2020-11-11-17-21,"",""
s.c0d65466-a9df-400c-bdaa-3a910227669a.txt,73026,6961,3152,4053,"",0,2020-11-11-17-55,2020-11-11-18-06,11
s.48d2f14b-576a-46fa-b1b6-6778568a9a07.txt,5247,5348,3245,4140,"",0,2020-11-11-21-42,"",""
s.3b326199-1779-4820-a21f-872ef2b6d731.txt,11615,21218,5039,4791,"",0,2020-11-11-20-33,2020-11-11-20-44,11
s.9dda1915-f955-46cf-b43f-68ca10d95ac2.txt,3683,2115,2518,3730,"",0,2020-10-04-19-38,"",""
s.14e738ce-58b6-43e9-a02c-08d9b22479d2.txt,5275,4794,3857,5163,"",0,2020-10-07-08-58,2020-10-07-09-05,7
s.bbf092aa-c336-4b78-8c87-e7fd9bd98dec.txt,"","","","","",0,2020-11-13-11-17,"",""
s.da69fc18-e9d6-4d1d-89b1-fbcf9c4456f2.txt,5299,5085,2697,2596,"",0,2020-11-15-16-38,2020-11-15-16-47,9
s.25d285d4-dc9e-4502-8834-d6bd387bac35.txt,7006,5256,3514,2893,"",0,2020-11-10-20-17,2020-11-10-20-28,11
